Country,ClusterID
Italy,0
Cyprus,0
France,0
Brunei,0
Finland,0
Qatar,0
Portugal,0
Japan,0
Norway,0
Canada,0
New Zealand,0
Netherlands,0
Kuwait,0
Malta,0
Denmark,0
Luxembourg,0
Singapore,0
Slovak Republic,0
Czech Republic,0
Israel,0
Iceland,0
Greece,0
United Kingdom,0
Slovenia,0
United States,0
Australia,0
Germany,0
Austria,0
Bahrain,0
Sweden,0
Ireland,0
Spain,0
Belgium,0
South Korea,0
Switzerland,0
United Arab Emirates,0
Lesotho,1
Liberia,1
Kiribati,1
Yemen,1
Iraq,1
Kenya,1
Lao,1
Afghanistan,1
Niger,1
Malawi,1
Uganda,1
Togo,1
Timor-Leste,1
Tanzania,1
Sudan,1
South Africa,1
Sierra Leone,1
Madagascar,1
Senegal,1
Pakistan,1
Nigeria,1
Haiti,1
Namibia,1
Mozambique,1
Mauritania,1
Mali,1
Rwanda,1
Guinea-Bissau,1
Zambia,1
Cote d'Ivoire,1
Guinea,1
Cameroon,1
Central African Republic,1
Chad,1
Botswana,1
Benin,1
Comoros,1
"Congo, Dem. Rep.",1
"Congo, Rep.",1
Burkina Faso,1
Equatorial Guinea,1
Eritrea,1
Burundi,1
Ghana,1
Angola,1
Gambia,1
Gabon,1
Turkmenistan,2
Bhutan,2
Bolivia,2
Bosnia and Herzegovina,2
Uruguay,2
Seychelles,2
Serbia,2
Brazil,2
Uzbekistan,2
Vanuatu,2
Saudi Arabia,2
Venezuela,2
Vietnam,2
Samoa,2
Bulgaria,2
Russia,2
Romania,2
Solomon Islands,2
Albania,2
Belarus,2
Antigua and Barbuda,2
Turkey,2
Ukraine,2
Tunisia,2
Tonga,2
Argentina,2
Armenia,2
Thailand,2
Belize,2
Azerbaijan,2
Bahamas,2
Bangladesh,2
Suriname,2
Barbados,2
St. Vincent and the Grenadines,2
Sri Lanka,2
Algeria,2
Tajikistan,2
Guyana,2
Oman,2
Philippines,2
Dominican Republic,2
Ecuador,2
Lebanon,2
Latvia,2
Egypt,2
El Salvador,2
Estonia,2
Kazakhstan,2
Libya,2
Jordan,2
Jamaica,2
Georgia,2
Iran,2
Indonesia,2
India,2
Grenada,2
Hungary,2
Guatemala,2
Fiji,2
Lithuania,2
Croatia,2
"Macedonia, FYR",2
Peru,2
Paraguay,2
Panama,2
Cambodia,2
Cape Verde,2
Chile,2
Nepal,2
China,2
Myanmar,2
Colombia,2
Morocco,2
Montenegro,2
Mongolia,2
Moldova,2
"Micronesia, Fed. Sts.",2
Mauritius,2
Maldives,2
Malaysia,2
Costa Rica,2
Poland,2
Kyrgyz Republic,2
