Country,ClusterID
Czech Republic,-1
Qatar,-1
Romania,-1
France,-1
Finland,-1
Russia,-1
Estonia,-1
Equatorial Guinea,-1
Egypt,-1
Serbia,-1
Dominican Republic,-1
Denmark,-1
Lebanon,-1
Cyprus,-1
Croatia,-1
Seychelles,-1
Portugal,-1
Costa Rica,-1
Germany,-1
Norway,-1
Lithuania,-1
Luxembourg,-1
"Macedonia, FYR",-1
Kuwait,-1
Kazakhstan,-1
Malaysia,-1
Japan,-1
Italy,-1
Israel,-1
Ireland,-1
Malta,-1
Iran,-1
Iceland,-1
Netherlands,-1
New Zealand,-1
Greece,-1
Singapore,-1
Libya,-1
Brazil,-1
Bahamas,-1
Barbados,-1
United Kingdom,-1
Austria,-1
Australia,-1
Belgium,-1
Slovak Republic,-1
United States,-1
Timor-Leste,-1
Argentina,-1
Thailand,-1
Switzerland,-1
Bahrain,-1
Brunei,-1
United Arab Emirates,-1
Sweden,-1
Colombia,-1
Slovenia,-1
South Africa,-1
South Korea,-1
Spain,-1
Bulgaria,-1
Canada,-1
Venezuela,-1
Suriname,-1
Uruguay,-1
St. Vincent and the Grenadines,-1
Uzbekistan,0
Mali,0
Malawi,0
Vietnam,0
Madagascar,0
Sierra Leone,0
Niger,0
Moldova,0
Mozambique,0
Myanmar,0
Nepal,0
Uganda,0
Togo,0
Pakistan,0
Tanzania,0
Tajikistan,0
Rwanda,0
Senegal,0
Sudan,0
Solomon Islands,0
Mauritania,0
Afghanistan,0
Kyrgyz Republic,0
Lesotho,0
Ghana,0
Gambia,0
Eritrea,0
Liberia,0
Cote d'Ivoire,0
"Congo, Dem. Rep.",0
Comoros,0
Chad,0
Central African Republic,0
Cameroon,0
Cambodia,0
Burundi,0
Burkina Faso,0
Benin,0
Bangladesh,0
Guinea,0
Guinea-Bissau,0
Zambia,0
Lao,0
Yemen,0
Kiribati,0
Kenya,0
Haiti,0
India,0
Bosnia and Herzegovina,1
Jordan,1
China,1
Tunisia,1
Ecuador,1
Turkmenistan,1
Albania,1
Peru,1
Iraq,2
Algeria,2
Bolivia,3
Guyana,3
Morocco,3
Guatemala,3
Nigeria,3
Sri Lanka,3
Cape Verde,3
Tonga,3
Angola,3
Philippines,3
"Congo, Rep.",3
Armenia,3
El Salvador,3
Bhutan,3
Paraguay,3
Fiji,3
Ukraine,3
Mongolia,3
Georgia,3
Indonesia,3
Samoa,3
Antigua and Barbuda,4
Chile,4
Belarus,5
Azerbaijan,5
Belize,6
Namibia,6
Jamaica,6
Montenegro,7
Botswana,7
Mauritius,8
Gabon,8
Panama,8
Maldives,9
Grenada,9
Poland,10
Hungary,10
Turkey,11
Latvia,11
"Micronesia, Fed. Sts.",12
Vanuatu,12
Saudi Arabia,13
Oman,13
