Country,ClusterID
New Zealand,0
Libya,0
Luxembourg,0
Canada,0
Greece,0
United States,0
Oman,0
Norway,0
Brunei,0
Germany,0
United Arab Emirates,0
Japan,0
Netherlands,0
France,0
Denmark,0
Finland,0
Malta,0
United Kingdom,0
Qatar,0
Portugal,0
Singapore,0
Switzerland,0
Bahrain,0
Kuwait,0
Ireland,0
Iceland,0
Austria,0
Australia,0
Israel,0
Sweden,0
Italy,0
Saudi Arabia,0
Spain,0
Belgium,0
Maldives,1
Kiribati,1
Malaysia,1
Thailand,1
Lesotho,1
Lao,1
Timor-Leste,1
Latvia,1
"Macedonia, FYR",1
Lithuania,1
Mauritania,1
Lebanon,1
Liberia,1
Yemen,1
Mauritius,1
Kyrgyz Republic,1
Moldova,1
Sri Lanka,1
South Korea,1
South Africa,1
Solomon Islands,1
Slovenia,1
Slovak Republic,1
Suriname,1
Seychelles,1
Serbia,1
Samoa,1
Russia,1
Romania,1
"Micronesia, Fed. Sts.",1
Poland,1
Peru,1
Paraguay,1
Panama,1
Pakistan,1
Nigeria,1
Tajikistan,1
Nepal,1
Namibia,1
Myanmar,1
Morocco,1
Montenegro,1
Mongolia,1
Philippines,1
Tonga,1
Iran,1
Jordan,1
Colombia,1
China,1
Chile,1
Uruguay,1
Cape Verde,1
Uzbekistan,1
Cambodia,1
Vanuatu,1
Venezuela,1
Bulgaria,1
Brazil,1
Botswana,1
Bosnia and Herzegovina,1
"Congo, Rep.",1
Bolivia,1
Vietnam,1
Belize,1
Belarus,1
Barbados,1
Bangladesh,1
Bahamas,1
Azerbaijan,1
Armenia,1
Argentina,1
Antigua and Barbuda,1
Angola,1
Algeria,1
Albania,1
Bhutan,1
Kazakhstan,1
Costa Rica,1
Croatia,1
Jamaica,1
Iraq,1
St. Vincent and the Grenadines,1
Indonesia,1
India,1
Hungary,1
Tunisia,1
Guyana,1
Turkey,1
Turkmenistan,1
Guatemala,1
Grenada,1
Ukraine,1
Ghana,1
Gabon,1
Fiji,1
Estonia,1
Eritrea,1
Equatorial Guinea,1
El Salvador,1
Egypt,1
Ecuador,1
Dominican Republic,1
Czech Republic,1
Cyprus,1
Georgia,1
Sudan,1
Uganda,2
Togo,2
Tanzania,2
Afghanistan,2
Senegal,2
Benin,2
Burkina Faso,2
Burundi,2
Cameroon,2
Central African Republic,2
Chad,2
Comoros,2
"Congo, Dem. Rep.",2
Cote d'Ivoire,2
Sierra Leone,2
Gambia,2
Guinea-Bissau,2
Haiti,2
Kenya,2
Madagascar,2
Malawi,2
Mali,2
Mozambique,2
Niger,2
Rwanda,2
Guinea,2
Zambia,2
